ETF,sync_spec,term,beta,se,t,nobs
XLK,market,own_w,-0.031517413235274634,0.0032371730239979246,-9.736091645898641,6747541
XLK,market,own_m,-0.004906907024207075,0.0051041572132241595,-0.9613549934343643,6747541
XLK,market,etf_d,0.017168202295084298,0.0016503505173817948,10.402761179680097,6747541
XLK,market,etf_w,-0.0509075679413642,0.0038181550884155025,-13.333027800735657,6747541
XLK,market,etf_m,0.028818435864204253,0.007016519597036935,4.107226590854849,6747541
XLK,market,etf_d_high,-0.17539822199762764,0.003631254617641129,-48.30237492725495,6747541
XLK,market,etf_w_high,0.13442350920104737,0.00825916188367355,16.275684033602914,6747541
XLK,market,etf_m_high,0.28781873391834717,0.016034492506674106,17.949974643634473,6747541
XLV,market,const,0.000228502154457266,1.220322072654497e-05,18.724741572543902,6747541
XLV,market,own_d,0.008267728959635295,0.001563791595435115,5.2869762081915095,6747541
XLV,market,own_w,-0.034894474237882854,0.003193048969796802,-10.928261535589119,6747541
XLV,market,own_m,0.016871370853588894,0.005068272600239453,3.3288207214410286,6747541
XLV,market,etf_d,5.9462334489819856e-05,0.0023206274950012136,0.025623386182360455,6747541
XLV,market,etf_w,-0.027784448432099814,0.0052676962471262375,-5.274497072084873,6747541
XLV,market,etf_m,-0.1749959219270191,0.01046127010784493,-16.72798045772561,6747541
XLV,market,etf_d_high,-0.2634771318983665,0.005142623155545116,-51.23399555619161,6747541
XLV,market,etf_w_high,0.07202717088694124,0.011524706571055225,6.249805185308618,6747541
XLV,market,etf_m_high,0.7303735761146289,0.022973106289182546,31.79254763899923,6747541
XLY,market,const,0.00021613262424517005,1.2055912272673008e-05,17.927521315419263,6747541
XLY,market,own_d,0.0006737870433034307,0.0016320640765378506,0.4128434986037782,6747541
XLY,market,own_w,-0.04229724008969502,0.003347399975197971,-12.635848838827064,6747541
XLY,market,own_m,0.007915059882636027,0.0052462120239316476,1.5087190236555243,6747541
XLY,market,etf_d,0.04207620413198205,0.001938841084202642,21.701729179772407,6747541
XLY,market,etf_w,-0.014255292254415653,0.00461132222918537,-3.09136762644626,6747541
XLY,market,etf_m,-0.029032684916818652,0.00851742878283558,-3.4086208006018968,6747541
XLY,market,etf_d_high,-0.20735862722270837,0.004170697221348457,-49.71797668776009,6747541
XLY,market,etf_w_high,0.23345712295358043,0.009302840136824182,25.09525258092615,6747541
XLY,market,etf_m_high,0.21779087020299367,0.018680442551063155,11.658763950996365,6747541
IWM,matched,const,0.00020633585028829651,1.2035858320183773e-05,17.143426318194315,6640722
IWM,matched,own_d,0.0023319049258010306,0.0017532894818965037,1.3300170621446084,6640722
IWM,matched,own_w,-0.03169251572270697,0.003544872923837586,-8.940381334854026,6640722
IWM,matched,own_m,0.00847171270424937,0.005475751165897899,1.5471325207415998,6640722
IWM,matched,etf_d,0.0025279079391643967,0.0020499859182370557,1.233134294570347,6640722
IWM,matched,etf_w,-0.003910760528146462,0.004876412608922788,-0.8019749028190539,6640722
IWM,matched,etf_m,0.01697868435601407,0.00859791798535575,1.9747436978269286,6640722
IWM,matched,etf_d_high,-0.06927323369043117,0.0038770228939653695,-17.86763596321697,6640722
IWM,matched,etf_w_high,0.007165554147395821,0.009367427460992478,0.7649436493887332,6640722
IWM,matched,etf_m_high,0.015420282562923191,0.01783487990065252,0.8646137596003107,6640722
QQQ,matched,const,0.0002182253082557746,1.37718276567052e-05,15.845776878388795,5013945
QQQ,matched,own_d,0.002310569875644187,0.0018123977101891695,1.2748691209740166,5013945
QQQ,matched,own_w,-0.018178248856142398,0.003451878163459352,-5.266190750465187,5013945
QQQ,matched,own_m,-0.02653800183141674,0.005589365243235041,-4.747945549548117,5013945
QQQ,matched,etf_d,-0.0034330938956924867,0.0016395504521253175,-2.093923911424765,5013945
QQQ,matched,etf_w,-0.031124640605009034,0.003610079850423467,-8.621593398095634,5013945
QQQ,matched,etf_m,-0.07917973619018547,0.006926419308206857,-11.43155397715647,5013945
QQQ,matched,etf_d_high,-0.04049348020955665,0.003395149526761604,-11.926862098524582,5013945
QQQ,matched,etf_w_high,0.05962742637229354,0.008424652666237544,7.077731122525101,5013945
QQQ,matched,etf_m_high,0.6320460279615688,0.016594998530842404,38.08653714472396,5013945
SPY,matched,const,0.00021239292100387573,1.2181947701005592e-05,17.435054411401158,6747541
SPY,matched,own_d,0.0075495026509971455,0.0016775386386594696,4.50034501561764,6747541
SPY,matched,own_w,-0.03013973246075404,0.0034205239070414567,-8.811437452230253,6747541
SPY,matched,own_m,0.00046869248938124846,0.0053070154412278876,0.08831564455987465,6747541
SPY,matched,etf_d,0.01108721247884456,0.002515198713772037,4.408086095995611,6747541
SPY,matched,etf_w,-0.019540588868524954,0.005827633500835615,-3.3530915878157166,6747541
SPY,matched,etf_m,-0.20443808948818196,0.011103797668064432,-18.41154671578402,6747541
SPY,matched,etf_d_high,-0.2354454631596363,0.005033851530871335,-46.77242896730445,6747541
SPY,matched,etf_w_high,-0.16207574737492497,0.012547295119620785,-12.917186200672019,6747541
SPY,matched,etf_m_high,1.526956680930194,0.02612287774388234,58.452851018214815,6747541
XLE,matched,const,0.00022356485352901118,1.2020868309973943e-05,18.598061950609274,6747541
XLE,matched,own_d,0.009378759541764082,0.0015422838230303433,6.081085337027205,6747541
XLE,matched,own_w,-0.037407113784920926,0.0031774977976318924,-11.772506597109048,6747541
XLE,matched,own_m,0.020282796244868718,0.005005295212434167,4.0522677252846435,6747541
XLE,matched,etf_d,-0.025128026039590856,0.0014508593422694798,-17.319408785888786,6747541
XLE,matched,etf_w,0.00034619801699991263,0.003270628981034215,0.10585059296161449,6747541
XLE,matched,etf_m,-0.15147198169475437,0.006602725669434641,-22.940826149411137,6747541
XLE,matched,etf_d_high,-0.08934226887719172,0.0031690335616133083,-28.1922760173322,6747541
XLE,matched,etf_w_high,-0.00012092867447519811,0.008692647476937081,-0.013911604582613101,6747541
XLE,matched,etf_m_high,0.5744513767523126,0.015457151686282677,37.16411589996265,6747541
XLF,matched,const,0.00019725889135939123,1.1881444066481805e-05,16.60226570572084,6747541
XLF,matched,own_d,0.008484647281812394,0.0016141173770559912,5.2565243410535905,6747541
XLF,matched,own_w,-0.03044370658693577,0.0032761706319653187,-9.292466726213558,6747541
XLF,matched,own_m,-0.010160820722646225,0.005165524412445032,-1.967045339707675,6747541
XLF,matched,etf_d,-0.007597148204848983,0.0016792914143183297,-4.524020155211043,6747541
XLF,matched,etf_w,-0.016855761972082255,0.004132488575120955,-4.078840549871066,6747541
XLF,matched,etf_m,0.024233987688447728,0.007809410535288916,3.1031775802975083,6747541
XLF,matched,etf_d_high,-0.09923987781569173,0.0033216396236139083,-29.876774443014323,6747541
XLF,matched,etf_w_high,-0.004061753088703876,0.008507192995966847,-0.47744927035621526,6747541
XLF,matched,etf_m_high,0.27508923331936597,0.017955145160208314,15.320913914358707,6747541
XLK,matched,const,0.00020086398635529756,1.2053920453072695e-05,16.66378894213582,6747541
XLK,matched,own_d,0.005088417613725505,0.0015943159580708043,3.191599248547148,6747541
XLK,matched,own_w,-0.030675983587023465,0.0032429017649649523,-9.459424247269789,6747541
XLK,matched,own_m,-0.006481804258359233,0.005109636268772759,-1.268545140477493,6747541
XLK,matched,etf_d,-0.01240293815187566,0.0017392374377134794,-7.131250675112773,6747541
XLK,matched,etf_w,-0.0390944724400913,0.0038966684240765823,-10.032794219424959,6747541
XLK,matched,etf_m,0.03543526592888754,0.007133095857414294,4.967726024886566,6747541
XLK,matched,etf_d_high,-0.07491623892197034,0.0036235031308550314,-20.67508601939375,6747541
XLK,matched,etf_w_high,0.10722278328276456,0.0080505773113368,13.318645251909295,6747541
XLK,matched,etf_m_high,0.3083071327279143,0.014964631412369351,20.60238733799191,6747541
XLV,matched,const,0.00021956181379651448,1.2265356900051144e-05,17.900972273835663,6747541
XLV,matched,own_d,0.008359649970298116,0.0015646802678243089,5.3427209010069685,6747541
XLV,matched,own_w,-0.03397082960005666,0.003195056386962931,-10.632309883065231,6747541
XLV,matched,own_m,0.01476951982090417,0.005069637986251894,2.9133283009471125,6747541
XLV,matched,etf_d,-0.003510654943469369,0.0023337034952088157,-1.5043277565795656,6747541
XLV,matched,etf_w,-0.08958568341588377,0.005285142027369932,-16.950477953468486,6747541
XLV,matched,etf_m,-0.057011993540763126,0.010457952371176183,-5.451544577492765,6747541
XLV,matched,etf_d_high,-0.25290251076492437,0.005089603356654102,-49.69002357212805,6747541
XLV,matched,etf_w_high,0.42327870332423945,0.012020792936187427,35.212211504783525,6747541
XLV,matched,etf_m_high,0.007784197012929649,0.022843186947144066,0.34076668159049744,6747541
XLY,matched,const,0.00021556562459206305,1.2086055898698221e-05,17.83589505119544,6747541
XLY,matched,own_d,0.0010049073445810082,0.0016322439239078316,0.6156600308703325,6747541
XLY,matched,own_w,-0.04233528356148919,0.003349311647977658,-12.639995321740688,6747541
XLY,matched,own_m,0.007300370266735189,0.0052483694590143735,1.3909787265826699,6747541
XLY,matched,etf_d,0.031351928228038915,0.0019395325758928346,16.16468246923181,6747541
XLY,matched,etf_w,-0.0060684296989589985,0.004636446286089702,-1.3088536617291444,6747541
XLY,matched,etf_m,-0.0429582978685135,0.008604287319703086,-4.992661945416752,6747541
XLY,matched,etf_d_high,-0.17707460473911077,0.004371382376860934,-40.50769058237067,6747541
XLY,matched,etf_w_high,0.23642412513104125,0.009587459875095555,24.659725121267837,6747541
XLY,matched,etf_m_high,0.26941582190200514,0.01788961126007982,15.05990364939898,6747541
